date,beach_event_id,start_date,end_date,start_date_clipped,end_date_clipped,duration_days_clean,analysis_period,post_emergency,study_group,impact_level,advisory_type_clean,advisory_cause_clean,source_clean,cause_group,beach_name_clean,station_id,station_name_clean,station_lat,station_lon,beach_lat,beach_lon,active_advisory_day,closure_active_day,posting_active_day,rain_advisory_event,bacteria_related_event,tijuana_river_related_event,sewage_infrastructure_event,sewage_related_event,severity_score,enterococcus_flag,fecal_coliform_flag,total_coliform_flag,ecoli_flag,end_date_was_missing
2023-01-18,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-19,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-20,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-21,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-22,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-23,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-24,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-25,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-26,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-01,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-02,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-03,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-04,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-05,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-06,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-07,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-08,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-09,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-10,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-11,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-12,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-13,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-14,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-15,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-16,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-17,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-18,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-19,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-20,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-21,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-22,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-23,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-24,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-25,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-26,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-27,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-28,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-29,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-30,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-01-31,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-01,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-02,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-03,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-04,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-05,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-06,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-07,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-08,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-09,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-10,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-11,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-12,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-13,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-14,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-15,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-16,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-17,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-18,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-19,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-20,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-21,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
2023-02-22,2,2023-01-01,2023-07-10,2023-01-01,2023-07-10,190,Pre-emergency,0,South Bay / Tijuana River Impact,2,Closure,Other - Tijuana River Associated,Sewage/Grease,Tijuana River associated,"Imperial Beach municipal beach, other",459,IB-050,32.566577296,-117.133205028,32.587527,-117.132598,1,1,0,0,1,1,0,1,2,1,0,0,0,False
